CITY_NAME,STATE_CODE,STATE_NAME,FIPS,COUNTY_NAME
Chastang,AL,Alabama,1097,Mobile County
Citronelle,AL,Alabama,1097,Mobile County
Prichard,AL,Alabama,1097,Mobile County
Axis,AL,Alabama,1097,Mobile County
Bucks,AL,Alabama,1097,Mobile County
Mount Vernon,AL,Alabama,1097,Mobile County
Monroeville,AL,Alabama,1099,Monroe County
Beatrice,AL,Alabama,1099,Monroe County
Tunnel Springs,AL,Alabama,1099,Monroe County
Hybart,AL,Alabama,1099,Monroe County
Uriah,AL,Alabama,1099,Monroe County
Frisco City,AL,Alabama,1099,Monroe County
Megargel,AL,Alabama,1099,Monroe County
Chrysler,AL,Alabama,1099,Monroe County
Excel,AL,Alabama,1099,Monroe County
Vredenburgh,AL,Alabama,1099,Monroe County
Claiborne,AL,Alabama,1099,Monroe County
Peterman,AL,Alabama,1099,Monroe County
Snowdoun,AL,Alabama,1101,Montgomery County
Pike Road,AL,Alabama,1101,Montgomery County
Montgomery,AL,Alabama,1101,Montgomery County
Sprague,AL,Alabama,1101,Montgomery County
Grady,AL,Alabama,1101,Montgomery County
Cecil,AL,Alabama,1101,Montgomery County
Ramer,AL,Alabama,1101,Montgomery County
Hunter,AL,Alabama,1101,Montgomery County
Eva,AL,Alabama,1103,Morgan County
Trinity,AL,Alabama,1103,Morgan County
Hartselle,AL,Alabama,1103,Morgan County
Decatur,AL,Alabama,1103,Morgan County
Priceville,AL,Alabama,1103,Morgan County
Moulton Heights,AL,Alabama,1103,Morgan County
Somerville,AL,Alabama,1103,Morgan County
Flint City,AL,Alabama,1103,Morgan County
Falkville,AL,Alabama,1103,Morgan County
Morgan City,AL,Alabama,1103,Morgan County
Suttle,AL,Alabama,1105,Perry County
Marion,AL,Alabama,1105,Perry County
Uniontown,AL,Alabama,1105,Perry County
Heiberger,AL,Alabama,1105,Perry County
Sprott,AL,Alabama,1105,Perry County
Aliceville,AL,Alabama,1107,Pickens County
Reform,AL,Alabama,1107,Pickens County
Memphis,AL,Alabama,1107,Pickens County
Gordo,AL,Alabama,1107,Pickens County
Carrollton,AL,Alabama,1107,Pickens County
Pickensville,AL,Alabama,1107,Pickens County
Macedonia,AL,Alabama,1107,Pickens County
Cochrane,AL,Alabama,1107,Pickens County
McMullen,AL,Alabama,1107,Pickens County
Ethelsville,AL,Alabama,1107,Pickens County
Goshen,AL,Alabama,1109,Pike County
Brundidge,AL,Alabama,1109,Pike County
Orion,AL,Alabama,1109,Pike County
Spring Hill,AL,Alabama,1109,Pike County
